bitstring,count
000000001111000000011011,13
011000000100000000001111,1
001001101100001010000010,1
000000001111010010111101,1
010110111101000001101101,1
101111110101000010001101,1
100010110001110110100000,1
000000001111101111000010,1
000000010100010011101101,1
000010101101100100011101,1
010000011010000000001111,1
000110101101000010000101,1
000110011011110010000101,1
010000011101100000000100,1
111111111110000000001111,1
010000101111000000000111,1
110001000011000000001111,1
011101110110000000001000,1
101010110000001000011111,1
001011001101000000011111,1
000010000101100000100101,1
000001111110011100011001,1
100101000010000000001111,1
111010001111000000001111,1
100000111000000000001111,1
011010010001010010110011,1
000100101101000010001110,1
000000001111100000001101,2
110011001010000000001111,1
101110000110010000110111,1
011010000000010100001101,1
100011110000000000001111,1
010000001001000000001011,1
000000001111000011100101,1
000000001111000000111110,2
100000011110000000001111,2
000100001101000000001111,2
000010110110111100000000,1
001000001110010000001111,1
010000001001010001001010,1
000010001111011000011101,1
000000001111000000000011,8
000000001111010010001011,2
000000001111000100001110,1
000000001111010001000111,1
000000001111001111011101,1
110100001101011100101111,1
100110001101010100110000,1
010011101100000001000111,1
001010110001010001011001,1
001010100000011010001001,1
001000001001011010101100,1
000000001101000101001110,1
101011110000001111100010,1
000010011110010110011010,1
000010000111010000001001,1
111010001100010010101011,1
000000101011000010000111,1
111011001001010000001111,1
011110000011000000101001,1
000000111000100001001000,1
000100101011011101100100,1
001110000001000000011110,1
101001100001000000011110,1
000111100111000100001110,1
010011000101000000001111,2
000000011011000000001111,2
010010001101000000011111,1
000000111110000000011101,1
011000000101000100001001,1
110110110110110010010000,1
000100101100000000001111,1
000100010000000000011101,1
000100001111110010110001,1
000000001111000001101111,3
000001001111011010000011,1
000000111101010010000101,1
110000000100100000001111,1
011000010100000000001111,1
001000011001001110001101,1
000110101001000000001011,1
000000101111001011000100,1
000000001111000111000100,1
000010000111010000010000,1
000000101010100000101101,1
000000101101000100100110,1
000000001111010010110011,1
000001101101000000001111,1
000010101111001010000011,1
000000001101000010111100,1
110000110101100000001110,1
000100001100000000001011,1
111011111011010100110010,1
001011010000000000001111,1
000010101000010000100110,1
001110010011000000001111,1
000000101111010000000101,1
000000001111011010000101,2
001010000111000000001111,1
010000001111101000001110,1
010010100110000010111111,1
001011000011000000001011,2
000000001111010011000101,1
000000110000001010101000,1
001010110000000010000000,1
001010000110010001111100,1
001011011110000000001110,1
010010010011010000011001,1
111000011001110111100011,1
000000001111010001001101,2
001000001110000000001111,3
000000001111110110000001,1
011100001111010110100100,1
011011001010000000011110,1
000001001111010010001111,1
011010000011110001000001,1
001110110011011110100100,1
000000001111000110111011,1
000000001111001000010001,1
000000000111000100001010,1
011000001101000100111011,1
011001101100011011101010,1
110000100100000000001111,1
000010011110000000001011,1
110000000001000000000100,1
000110100001000000001111,2
011101100000000000001010,1
000000001111000110110000,1
010000000111011111111000,1
011110010000001111011111,1
001000001110000000000011,1
010101001010000000001001,1
000110000111000000001011,2
011010010001110010000100,1
000010101111011001011001,1
111000111100000000101110,1
010010010011000000001111,1
000000011110000100101100,1
110010001101000000001011,1
010101001100110001011001,1
010111101011000101111100,1
000000001011001101100111,1
111000000100000000001110,1
010110000000010001010011,1
000000100111001100110111,1
011110100000000010011000,1
000000011011010011000101,1
000001001111101010010110,1
110110101111010010010101,1
000000001111001001000110,1
000000001100000000001101,1
000000001011010010010111,1
000000001011000000000110,1
000010000111000000001011,2
000000001111001100010111,1
000010000101000000001111,6
010001011100010101001011,1
011010100011000011100111,1
000011101101010010010011,1
000000011000110010011000,1
100110001100000000001111,1
000000001111000000010100,1
010000001001000000101001,1
000000001111001010000010,1
011110101110000010000101,1
011110000100000000001111,2
000000011011110000001011,1
000011101101000000001011,1
000100001111000000001011,2
011010001100000000001111,1
000000011111000000101101,2
000010101101000000001111,1
000000001101111110100011,1
100000001110111111000000,1
000010101101100110010111,1
000100001111010010001011,1
110111001001000000001011,1
010111101001000000001111,1
101110011011110100100100,1
011000001111000000001111,2
000000101111001010001111,1
001100010010000010001111,1
100111000110110010001101,1
000001101111000000101001,1
000010100110000000001011,3
000100101000111000010101,1
111000111010001111011001,1
011010001011101011110000,1
000011100111000000101000,1
000010000011010000001110,1
000000001011101111111010,1
001010001001001111100011,1
000000101101100000011111,1
000000001111101110001111,1
000000001111000000101001,3
000000011011010010000000,1
100000001101011010010010,1
000000000101000000101101,1
000010000101000000000011,1
000010000111001001111010,1
001110110010000000101011,1
000100100101010111001111,1
010010111001000000001111,1
